"OC","bedCount","revenue1","salescost1","sga1","salary1","noi1","noe1","interest1","ctax1","profit1","liquidAsset1","quickAsset1","receivableS1","inventoryAsset1","nonCAsset1","tanAsset1","OnonCAsset1","receivableL1","debt1","surplus1","revenue2","salescost2","sga2","salary2","noi2","noe2","interest2","ctax2","profit2","liquidAsset2","quickAsset2","receivableS2","inventoryAsset2","nonCAsset2","tanAsset2","OnonCAsset2","receivableL2","debt2","surplus2","employee1","employee2","ownerChange"
"open",175,4217530010,0,3961134739,2033835290,15652441,15236236,13236236,31641798,225169678,1012699685,997671878,470055740,15027807,2514586477,2360683543,143449600,0,682825991,1496394171,4297848250,0,4057421812,2063787360,16194675,29983354,15683046,18808074,207829685,830169459,816570489,523702570,13598970,2548114776,2386262842,145898600,0,758993742,1271224493,62,64,"same"
"open",410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,813,"same"
"open",468,1004521989,515483669,447219722,296402310,76156,30000,0,0,41864754,272442138,253682170,8095950,18759968,120481028,120481028,0,0,92414342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,"same"
"open",353,72507342181,0,70677397660,31786048663,506223059,1259567512,1196881219,173769780,902830288,13041543085,11534749645,0,1506793440,43179356963,38320784344,3945208068,0,42363797762,8643659325,66858336474,0,64924192738,29711345895,476807804,1353672354,1277421934,218891720,838387466,11125720580,9890539620,0,1235180960,39583561930,34855762555,3915906050,0,37755010512,7740829037,663,663,"same"
"open",196,49043538016,0,47656051197,24460782270,112352259,1419089382,1307248652,0,80749696,6317084032,5873265455,4099320115,443818577,43667333124,43306130668,222340000,0,49898105519,9025549604,48082801047,0,47125798583,23460042760,597748128,1522108007,1349850967,0,32642585,4906776494,4464017363,3365226859,442759131,46531378337,45629447727,789340700,0,51432592890,9025549604,206,197,"same"
"open",243,33580536703,9222996930,23727912054,16655333342,65414325,741269419,336462245,0,-46227375,5635104883,5481680248,663481970,153424635,18649703167,18499383217,136458178,0,0,3664918487,34334446461,9839138947,24096219735,16387922648,125681154,450082979,415510430,0,74685954,4869419176,4725857392,197616292,143561784,22127146425,21861133888,191046000,0,0,5879003604,397,390,"same"
"open",213,22552179836,4449958166,16573328452,11073956461,305646045,970008848,940942802,0,864530415,11407504260,11236305651,143205215,171198609,27132228446,26616290889,469765334,0,24122304855,9158248178,21434845638,4764838783,15312354230,10058001840,222584686,1020650883,911835003,76939368,482647060,11046411958,10972287154,86488264,74124804,27483909662,26979159021,490138884,0,19642026834,9174282922,221,246,"same"
"open",250,64359169160,20758010719,40882537264,26822603567,1426186507,3166922895,465983760,524566650,453318139,12756514354,11879215739,5958385250,877298615,38592616814,37877928790,36128430,0,46886016081,0,59496434242,19582573685,39444542463,25412225815,1795756725,921095477,464175034,212053194,1131926148,8681980599,7819093269,4923685446,862887330,41520702016,40661470673,12828430,0,35984818131,9177282701,489,489,"same"
"open",280,12748392940,328697683,11076189315,7155936637,261621144,579079483,167471911,252452530,773595073,4134272657,4119094934,0,15177723,11669322694,11559128195,86400000,0,0,0,12824600350,349818513,11009876668,6897659978,65921217,828281912,214660216,152558590,549985884,3117104642,3088202557,0,22561176,13226646330,13113246330,113400000,0,0,0,243,243,"same"
"open",55,41406077905,6624671265,35120182720,19796589281,708476429,1000118143,448540747,53741720,-684159514,4539942834,3924282684,2956588623,615660150,45720311419,43439124409,0,0,30534327153,9070300542,45981429984,7388793662,35548982698,20041758990,242351132,2754695628,550892507,145281135,386027993,4042217543,3481758734,2321736474,560458809,51109037966,48345356976,0,0,34906729636,9554580715,370,382,"same"
